ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
BOSIDENG INTERNATIONAL HOLDINGS,"1,720,000",0,0,"1,720,000",HKD,"1,083,236.05 0.03"
BURNING 'A' -ADR.SPONS-,0,"21,200","21,200",0,USD,0.00 0.00
CHINA CONCH VENTURE HOLDINGS,"787,000","72,000","73,500","785,500",HKD,"3,838,701.39 0.10"
CHINA EAST EDUCATION HLDS 144A/S,"200,000",0,"200,000",0,HKD,0.00 0.00
CHINA EDUCATION GROUP HOLDINGS S,"323,000","50,000",0,"373,000",HKD,"605,697.39 0.02"
CHINA EVERGRANDE GROUP,"960,000","1,192,000","163,000","1,989,000",HKD,"405,644.01 0.01"
CHINA FEIHE,"568,396","1,274,000",0,"1,842,396",HKD,"2,471,882.55 0.06"
CHINA HONGQIAO GROUP,"946,500","550,000","231,500","1,265,000",HKD,"1,335,375.87 0.03"
CHINA HUISHAN DAIRY HLDGS,"2,284,000",0,0,"2,284,000",HKD,0.00 0.00
CHINA LESSO GROUP HLDGS,"534,000",0,0,"534,000",HKD,"767,136.14 0.02"
CHINA LITERATURE 144A/S,"158,200","64,800","34,400","188,600",HKD,"1,185,361.82 0.03"
CHINA MEDICAL HOLDINGS,"756,000",0,"163,000","593,000",HKD,"990,327.51 0.03"
CHINA MEIDONG AUTO,"252,000",0,0,"252,000",HKD,"1,299,390.71 0.03"
CHINA MENGNIU DAIRY,"1,326,000","245,000","57,000","1,514,000",HKD,"8,583,438.68 0.22"
CHINA OVERSEAS PROPERTY HOLDINGS,"670,000",0,0,"670,000",HKD,"710,711.72 0.02"
CHINA RES.MIXC LIFESTYLE S 144A,0,"326,400",0,"326,400",HKD,"1,521,835.57 0.04"
CHINA RESOURCES CEMENT,"1,084,000",0,0,"1,084,000",HKD,"818,950.67 0.02"
CHINA RESOURCES LAND,"1,522,000","80,000","74,000","1,528,000",HKD,"6,428,510.57 0.17"
CHINA STATE CONSTRUCTION INTERNAT.,"1,119,750","346,000","432,000","1,033,750",HKD,"1,284,850.10 0.03"
CHINA YUHUA EDUCATION CORP,"752,000",0,0,"752,000",HKD,"269,113.33 0.01"
CHINASOFT INTERNATIONAL,0,"1,236,000",0,"1,236,000",HKD,"1,610,739.63 0.04"
CHINDATA GROUP HOLDINGS -ADR- 'A',0,"44,200",0,"44,200",USD,"291,278.00 0.01"
CIFI EVER SUNSHINE SVCS GRP,0,"452,000",0,"452,000",HKD,"700,355.48 0.02"
CIFI HOLDINGS GROUP,"1,438,000","71,900",0,"1,509,900",HKD,"908,310.20 0.02"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
CN AOYUAN GRP RG,"645,402",0,"645,402",0,HKD,0.00 0.00
COUNTRY GARDEN HOLDINGS,"3,763,604","388,000","261,000","3,890,604",HKD,"3,453,315.74 0.09"
COUNTRY GARDEN SERVICES HOLDINGS,"674,000","217,000","41,000","850,000",HKD,"5,091,537.78 0.13"
DADA NEXUS -ADR SPONS.-,0,"25,400",0,"25,400",USD,"334,264.00 0.01"
DALI FOODS GROUP,"1,160,000","676,000","610,000","1,226,000",HKD,"641,599.18 0.02"
DAQO NEW ENERGY -ADR SPONS.-,0,"27,500",0,"27,500",USD,"1,108,800.00 0.03"
DIGITECH 'A' -ADR-,0,"41,400",0,"41,400",USD,"949,302.00 0.02"
DONGYUE GROUP,0,"656,000",0,"656,000",HKD,"1,023,176.55 0.03"
DOUYU INTL HLDGS -ADR SPONS-,"50,200",0,"50,200",0,USD,0.00 0.00
ENN ENERGY HOLDINGS,"389,800","37,800","22,400","405,200",HKD,"7,629,720.99 0.20"
EVER SUNSHINE LIFESTYLE SVCS GRP S,0,"252,000","252,000",0,HKD,0.00 0.00
GDS HOLDINGS 'A' -ADR SPONS.-,"42,400",0,0,"42,400",USD,"1,999,584.00 0.05"
GEELY AUTOMOBILE HOLDINGS,"2,811,019","306,000","273,000","2,844,019",HKD,"7,770,075.91 0.20"
GENSCRIPT BIOTECH 144A/S,"498,000","70,000",0,"568,000",HKD,"2,513,509.87 0.07"
GREENTOWN CHINA HOLDINGS,"242,000","238,500",0,"480,500",HKD,"774,098.45 0.02"
GREENTOWN SVS,"610,000",0,0,"610,000",HKD,"563,346.36 0.01"
GSX TECHEDU -ADR SPONS-,"37,607","17,600","55,207",0,USD,0.00 0.00
HAIDILAO INTERNATIONAL HLDG 144A/S,"359,000","159,000","43,000","475,000",HKD,"1,072,307.74 0.03"
HAITIAN INTERNATIONAL HOLDINGS,"358,000",0,"94,000","264,000",HKD,"733,119.87 0.02"
HANSOH PHARMACEUTICAL GROUP 144A/S,"560,000",0,0,"560,000",HKD,"1,364,755.31 0.04"
HELLO GROUP -ADR SPONS.-,0,"79,600",0,"79,600",USD,"714,808.00 0.02"
HENGAN INTERNATIONAL GROUP,"338,500",0,"49,000","289,500",HKD,"1,490,895.77 0.04"
HUAZHOU GROUP -ADR SPONS.-,"79,416","15,300","7,300","87,416",USD,"3,264,113.44 0.09"
HUTCHMED (CHINA) -ADR SPONS,"31,900","9,400",0,"41,300",USD,"1,448,804.00 0.04"
HUYA -ADR SPONS.-,"32,200",0,"32,200",0,USD,0.00 0.00
HYGEIA HEALTHCARE HGS S 144,0,"163,212",0,"163,212",HKD,"1,021,609.85 0.03"
I-MAB -ADS SPONS.-,0,"20,200",0,"20,200",USD,"957,278.00 0.03"
INNOVENT BIOLOGICS 144A/S,"475,000","97,500","27,500","545,000",HKD,"3,372,927.33 0.09"
IQIYI -ADR SPONS.-,"133,800",0,0,"133,800",USD,"610,128.00 0.02"
JD HEALTH INTERNATIONAL,"100,000","69,400",0,"169,400",HKD,"1,335,206.56 0.03"
JD.COM 'A' -ADR SPONS.-,"414,611","19,700","353,049","81,262",USD,"5,694,028.34 0.15"
JD.COM 'A' S,0,"675,699",0,"675,699",HKD,"23,747,451.18 0.62"
JD.COM 'A' S,0,"616,498","616,498",0,USD,0.00 0.00
JINXIN FERTILITY GROUP S,"648,000",0,0,"648,000",HKD,"723,946.25 0.02"
JIUMAOJIU INTERNATIONAL HOLDINGS,0,"341,000",0,"341,000",HKD,"599,222.50 0.02"
JOYY 'A' -ADR SPONS.-,"26,800",0,0,"26,800",USD,"1,217,524.00 0.03"
KAISA GROUP HOLDINGS,"1,113,000","159,000","1,272,000",0,HKD,0.00 0.00
KE HOLDINGS -ADR SPONS.-,"42,858","131,100",0,"173,958",USD,"3,500,034.96 0.09"
KINGBOARD HOLDINGS,"349,500",0,"58,500","291,000",HKD,"1,416,504.42 0.04"
KINGBOARD LAMINATES HOLDINGS,"554,000","192,000","209,000","537,000",HKD,"913,336.84 0.02"
KINGDEE INTL SOFTWARE GROUP,"1,180,000","212,000","84,000","1,308,000",HKD,"4,026,541.23 0.11"
KINGSOFT,"395,000","79,000",0,"474,000",HKD,"2,082,342.11 0.05"
KINGSOFT CLOUD -ADR SPONS.-,"28,800",0,"5,800","23,000",USD,"362,250.00 0.01"
KOOLEARN TECHNOLOGY -IPO-,"92,921",0,"92,921",0,HKD,0.00 0.00
KUAISHOU TECHNOLOGY 'B' 144A/S,0,"237,535",0,"237,535",HKD,"2,195,203.37 0.06"
KWG GROUP HOLDINGS,"705,000",0,"207,000","498,000",HKD,"325,771.20 0.01"
LEE & MAN PAPER MANUFACTURING,"807,000",0,0,"807,000",HKD,"561,029.87 0.01"
LEGEND BIOTECH -ADR SPONS. -,0,"19,395",0,"19,395",USD,"904,000.95 0.02"
LI AUTO -ADR SPONS.-,0,"263,032",0,"263,032",USD,"8,443,327.20 0.22"
LI NING,"1,001,000","216,000","127,000","1,090,000",HKD,"11,932,822.70 0.31"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
LOGAN PROPERTY HOLDINGS,"750,000",0,"212,000","538,000",HKD,"411,283.89 0.01"
LONGFOR GROUP HOLDINGS,"846,500","133,500","112,500","867,500",HKD,"4,083,651.88 0.11"
LUFAX HOLDING -ADS SPONS-,"80,000",0,"80,000",0,USD,0.00 0.00
MEITUAN 'B',"1,729,300","434,100","190,500","1,972,900",HKD,"57,039,032.33 1.49"
MICROPORT SCIENTIFIC,"348,000",0,"47,000","301,000",HKD,"1,096,473.15 0.03"
MING YUAN CLOUD GROUP HOLDG 144A S,0,"279,000",0,"279,000",HKD,"635,565.52 0.02"
MINTH GROUP,"360,000",0,0,"360,000",HKD,"1,586,143.25 0.04"
MOMO 'A' -ADR SPONS.-,"79,600",0,"79,600",0,USD,0.00 0.00
NETEASE -ADR SPONS.-,"199,600","6,200","205,800",0,USD,0.00 0.00
NETEASE S,0,"980,113",0,"980,113",HKD,"19,800,213.46 0.52"
NEW ORIENTAL EDU.TEC.-ADR SPONS.-,"72,600","637,400","27,400","682,600",USD,"1,433,460.00 0.04"
NIO 'A' -ADR SPONS.-,"617,175","95,800","56,500","656,475",USD,"20,797,128.00 0.54"
NOAH HOLDINGS -ADR SPONS.-,"16,000",0,0,"16,000",USD,"491,040.00 0.01"
ONECONNECT FIN. TECH.-ADS SPONS-,0,"55,200","55,200",0,USD,0.00 0.00
PARADE TECHNOLOGIES,0,"35,000",0,"35,000",TWD,"2,675,570.52 0.07"
PERENNIAL ENERGY HOLDINGS S,0,"2,640,000","2,640,000",0,HKD,0.00 0.00
PINDUODUO 'A' -ADR SPONS-,"184,100","41,500","14,900","210,700",USD,"12,283,810.00 0.32"
PING AN HEALTHCARE AND TECHNO.,"257,200",0,"29,100","228,100",HKD,"829,452.49 0.02"
POWERLONG REAL ESTATE HLDGS,0,"738,000",0,"738,000",HKD,"386,215.49 0.01"
RLX TECHNOLOGY 'A' -ADR SPONS.-,0,"274,200",0,"274,200",USD,"1,069,380.00 0.03"
SANY HEAVY EQUIPMENT INTL,0,"586,000",0,"586,000",HKD,"566,737.73 0.01"
SEAZEN GROUP,"948,000",0,0,"948,000",HKD,"640,814.19 0.02"
SEMICONDUCTOR MANUFACTURING INTL,"1,901,300",0,"1,901,300",0,HKD,0.00 0.00
SHENZHOU INTERNATIONAL GROUP,"406,900","17,600","32,900","391,600",HKD,"7,529,349.91 0.20"
SHIMAO PROPERTY HOLDINGS,"637,500",0,"109,500","528,000",HKD,"345,395.97 0.01"
SHIMAO SERVICES HOLDINGS,0,"246,000",0,"246,000",HKD,"171,020.26 0.00"
SILERGY,"35,000","3,000",0,"38,000",TWD,"6,901,724.97 0.18"
SINA,"25,500",0,"25,500",0,USD,0.00 0.00
SINO BIOPHARMACEUTICAL,"4,876,000","845,000","673,000","5,048,000",HKD,"3,535,290.88 0.09"
SMOORE INTERNATIONAL HOLDINGS,"166,095","680,000",0,"846,095",HKD,"4,313,893.57 0.11"
SSY GROUP,"940,000",0,"940,000",0,HKD,0.00 0.00
SUNAC CHINA HOLDINGS,"1,263,000","194,000","82,000","1,375,000",HKD,"2,077,596.25 0.05"
SUNAC SERVICES HOLDINGS,0,"438,000",0,"438,000",HKD,"446,636.70 0.01"
SUNNY OPTICAL TECHNOLOGY,"335,700","36,600","27,200","345,100",HKD,"10,915,690.07 0.29"
TAL EDUCATION GRP 'A' -ADR SPONS.-,"183,400","8,400","8,700","183,100",USD,"719,583.00 0.02"
TENCENT HOLDINGS,"2,764,000","362,500","351,800","2,774,700",HKD,"162,575,573.22 4.26"
TENCENT MUSIC ENT. 'A' -ADR SPONS.-,"170,500","178,300","13,500","335,300",USD,"2,296,805.00 0.06"
TINGYI (CAYMAN ISLANDS) HOLDING,"880,000",0,0,"880,000",HKD,"1,808,249.48 0.05"
TONGCHENG TRAVEL HOLDINGS,"402,566",0,0,"402,566",HKD,"745,619.83 0.02"
TOPSPORTS INTL. HOLDINGS S 144A,"522,000","222,000",0,"744,000",HKD,"752,944.74 0.02"
TRIP COM -ADR SPONS-,"232,795","26,100","10,400","248,495",USD,"6,117,946.90 0.16"
UNI PRESIDENT CHINA HOLDINGS,"724,000",0,"283,000","441,000",HKD,"427,635.30 0.01"
UP FINTECH HOLDING 'A'-ADR SPONS.-,0,"30,100","30,100",0,USD,0.00 0.00
VINDA INTERNATIONAL HOLDING,"148,000",0,0,"148,000",HKD,"360,685.33 0.01"
VIPSHOP HOLDINGS -ADR SPONS.-,"210,100","10,700","11,800","209,000",USD,"1,755,600.00 0.05"
VNET GROUP 'A' -ADR SPONS.-,0,"37,200",0,"37,200",USD,"335,916.00 0.01"
WANT WANT CHINA,"2,642,000",0,"502,000","2,140,000",HKD,"1,965,350.26 0.05"
WEIBO 'A' -ADR SPONS.-,"29,440","7,000","8,200","28,240",USD,"874,875.20 0.02"
WEIMOB 144A/S,0,"1,241,000","161,107","1,079,893",HKD,"1,092,876.01 0.03"
WUXI BIOLOGICS (CAYMAN),"1,479,000","330,500","71,148","1,738,352",HKD,"20,636,085.05 0.54"
XIAOMI 'B' 144A/S,"6,909,000","661,800","682,600","6,888,200",HKD,"16,698,625.20 0.44"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
XINYI SOLAR HOLDINGS,"1,960,000","386,000",0,"2,346,000",HKD,"3,978,071.89 0.10"
XPENG 'A' -ADR SPONS.-,"80,575","106,156",0,"186,731",USD,"9,398,171.23 0.25"
YADEA GROUP HOLDINGS 144A/S,"440,000","208,000",0,"648,000",HKD,"1,263,373.49 0.03"
YIHAI INTERNATIONAL HOLDINGS,"221,000",0,0,"221,000",HKD,"1,021,905.43 0.03"
ZAI LAB -ADR SPONS.-,"34,137","2,200","2,000","34,337",USD,"2,158,080.45 0.06"
ZHEN DING TECHNOLOGY,"265,835","99,000",0,"364,835",TWD,"1,325,258.33 0.03"
ZHENRO PROPERTIES GROUP S,"762,630",0,"762,630",0,HKD,0.00 0.00
ZHONGSHENG GROUP,"266,000",0,0,"266,000",HKD,"2,074,428.07 0.05"
ZTO EXPRESS CAYMAN 'A' -ADR SPONS.-,"190,727","34,500","21,900","203,327",USD,"5,737,887.94 0.15"
"",,,,,,
"",,,,,,"722,073,052.86 18.91"
ILES VIERGES BRITANNIQUES / BRITISCHE JUNGFERNINSELN,,,,,,
CHINA COMMON RICH RENEWABLE ENERGY,"8,848,000",0,"8,848,000",0,HKD,0.00 0.00
MAIL.RU GROUP -GDR SPONS.-REG.S-,"48,712",0,0,"48,712",RUB,"566,327.11 0.01"
"",,,,,,
"",,,,,,"566,327.11 0.01"
INDE / INDIEN,,,,,,
ACC -DEMATERIALISED-,"31,078",0,0,"31,078",INR,"926,353.26 0.02"
ADANI ENTERPRISES,0,"243,109","18,851","224,258",INR,"5,157,119.05 0.14"
ADANI GAS RG,0,"255,935","76,553","179,382",INR,"4,154,936.36 0.11"
ADANI GREEN ENERGY,"180,760","201,040","137,427","244,373",INR,"4,373,098.89 0.11"
ADANI PORTS & SPECIAL ECONOMIC ZONE,"242,542",0,0,"242,542",INR,"2,382,819.07 0.06"
ADANI TRANSMISSIONS,0,"202,492","35,734","166,758",INR,"3,905,267.97 0.10"
AMBUJA CEMENTS -DEMAT.-,"313,187",0,0,"313,187",INR,"1,590,462.72 0.04"
APOLLO HOSPITALS ENTERPRISE,"46,164",0,0,"46,164",INR,"3,113,426.37 0.08"
ASIAN PAINT,"184,614","8,338","9,769","183,183",INR,"8,336,496.20 0.22"
AUROBINDO PHARMA,"150,666","38,620","27,305","161,981",INR,"1,600,184.22 0.04"
AVENUE SUPERMARTS LTD,"77,856","5,554","6,071","77,339",INR,"4,860,187.99 0.13"
AXIS BANK,"1,089,099","77,692","76,687","1,090,104",INR,"9,950,676.29 0.26"
BAJAJ AUTO,"36,456","8,331","6,899","37,888",INR,"1,656,104.05 0.04"
BAJAJ FINANCE,"130,928","11,533","9,571","132,890",INR,"12,473,332.75 0.33"
BAJAJ FINSERV,"17,732",0,0,"17,732",INR,"3,913,528.80 0.10"
BALKRISHNA INDUSTRIES,"48,414",0,"11,533","36,881",INR,"1,152,735.00 0.03"
BANDHAN BANK,"325,212","54,495","86,605","293,102",INR,"996,384.20 0.03"
BERGER PAINTS INDIA,"120,320",0,0,"120,320",INR,"1,249,157.71 0.03"
BHARAT ELECTRONICS,0,"1,464,739","147,970","1,316,769",INR,"3,719,018.03 0.10"
BHARAT FORGE -DEMAT.-,"105,310",0,0,"105,310",INR,"988,631.65 0.03"
BHARAT PETROLEUM -DEMATERIALISED-,"296,698","163,368",0,"460,066",INR,"2,385,563.60 0.06"
BHARTI AIRTEL -DEMAT.-,"622,099","655,647","92,361","1,185,385",INR,"10,904,137.87 0.29"
BIOCON,"205,078",0,0,"205,078",INR,"1,006,000.28 0.03"
BRITANNIA INDUSTRIES,"53,919","7,371","7,040","54,250",INR,"2,631,650.88 0.07"
CHOLAMAN INVESTMENT FINANCE,0,"186,641",0,"186,641",INR,"1,306,613.52 0.03"
CIPLA -DEMATERIALISED-,"229,128","28,264","31,435","225,957",INR,"2,869,766.81 0.08"
COAL INDIA,"652,590",0,"652,590",0,INR,0.00 0.00
COLGATE-PALMOLIVE (INDIA),"67,838",0,"16,610","51,228",INR,"1,020,829.55 0.03"
CONTAINER,"116,542","57,931","46,198","128,275",INR,"1,060,478.96 0.03"
DABUR INDIA -DEMATERIALISED-,"270,837","90,148","45,255","315,730",INR,"2,463,678.83 0.06"
DIVI'S LABORATORIES,"62,961","5,308","5,638","62,631",INR,"3,941,585.40 0.10"
DLF,"330,140",0,"69,538","260,602",INR,"1,368,818.87 0.04"
DR REDDY'S LABORATORIES-DEMATER.-,"54,693","5,516","5,998","54,211",INR,"3,578,543.38 0.09"
EICHER MOTORS,"61,751",0,0,"61,751",INR,"2,153,104.20 0.06"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
GAIL (INDIA) -DEMAT.-,"855,019","1,118,202","710,477","1,262,744",INR,"2,194,727.67 0.06"
GODREJ CONSUMER PROD. -DEMAT.-,"193,777",0,"31,572","162,205",INR,"2,112,999.55 0.06"
GODREJ PROPERTIES,0,"62,525",0,"62,525",INR,"1,574,403.16 0.04"
GRASIM INDUSTRIES,"151,170","15,506","37,756","128,920",INR,"2,813,460.94 0.07"
HAVELLS INDIA,"256,637","115,332","146,007","225,962",INR,"4,246,534.20 0.11"
HCL TECHNOLOGIES -DEMATERIALISED-,"533,344","148,732","124,749","557,327",INR,"9,889,870.71 0.26"
HDFC ASSET MANAGEMENT 144A/S,"23,220",0,0,"23,220",INR,"764,080.71 0.02"
HDFC LIFE INSURANCE,"328,023","110,553",0,"438,576",INR,"3,832,306.71 0.10"
HERO MOTOCORP,"60,134",0,0,"60,134",INR,"1,991,721.40 0.05"
HINDALCO INDUSTRIES -DEMAT.-,"747,944","62,843","63,534","747,253",INR,"4,780,426.70 0.13"
HINDUSTAN PETROLEUM -DEMATERIAL.-,"322,996","86,716",0,"409,712",INR,"1,611,330.37 0.04"
HINDUSTAN UNILEVER -DEMAT.-,"398,949","33,878","32,240","400,587",INR,"12,718,598.77 0.33"
HOUSING DEVELOPMENT FINANCE,"820,570","86,715","79,016","828,269",INR,"28,818,960.03 0.75"
ICICI BANK,"2,481,046","229,473","219,120","2,491,399",INR,"24,806,519.79 0.65"
ICICI BANK -ADR SPONS.-,"7,717",0,0,"7,717",USD,"152,719.43 0.00"
ICICI LOMBARD GENERAL INSURANCE,"95,407","19,591",0,"114,998",INR,"2,167,747.65 0.06"
ICICI PRUDENTIAL LIFE INSURANCE,"187,382",0,0,"187,382",INR,"1,413,639.55 0.04"
INDIAN OIL -DEMATER.-,"1,029,530","222,198","230,920","1,020,808",INR,"1,531,164.12 0.04"
INDIAN RWY CATE,0,"128,600",0,"128,600",INR,"1,438,919.80 0.04"
INDRAPRASTHA GAS,"152,472","348,681","202,189","298,964",INR,"1,891,860.11 0.05"
INDUS TOWERS,"208,324","95,258",0,"303,582",INR,"1,014,041.08 0.03"
INFO EDGE (INDIA) -DEMAT.,"33,048","4,473",0,"37,521",INR,"2,814,845.08 0.07"
INFOSYS -DEMAT.-,"1,655,598","232,813","216,053","1,672,358",INR,"42,469,440.67 1.11"
INTERGLOBE AVIATION,"50,583","13,089","15,058","48,614",INR,"1,319,436.44 0.03"
IPCA LABORATORIES,"36,537",0,"36,537",0,INR,0.00 0.00
ITC -DEMATERIALISED-,"1,413,851","116,989","120,770","1,410,070",INR,"4,136,181.38 0.11"
JSW STEEL,"378,650","39,213",0,"417,863",INR,"3,687,291.44 0.10"
JUBILANT FOODWORKS,"33,848","15,713","8,571","40,990",INR,"1,980,196.22 0.05"
KOTAK MAHINDRA BANK,"263,910","26,351","28,503","261,758",INR,"6,324,603.25 0.17"
LUPIN,"121,952",0,"24,646","97,306",INR,"1,244,539.73 0.03"
MAHINDRA & MAHINDRA,"387,873","64,070","31,670","420,273",INR,"4,733,011.74 0.12"
MARICO -DEMATER.-,"246,259",0,0,"246,259",INR,"1,698,305.76 0.04"
MARUTI SUZUKI INDIA -DEMAT.-,"64,054","3,655","3,686","64,023",INR,"6,396,171.38 0.17"
MOTHERSON SUMI SYTEMS -DEMAT.-,"683,332","121,041","165,522","638,851",INR,"1,919,071.30 0.05"
MPHASIS -DEMAT.-,0,"60,359",0,"60,359",INR,"2,758,049.38 0.07"
MRF -DEMATERIALISED-,"1,017",0,0,"1,017",INR,"1,003,350.86 0.03"
MUTHOOT FINANCE,"69,384",0,"18,190","51,194",INR,"1,030,034.68 0.03"
NESTLE INDIA -DEMATERIALISED-,"16,618","1,364","1,443","16,539",INR,"4,384,336.95 0.11"
NTPC,"2,123,652",0,"2,123,652",0,INR,0.00 0.00
OIL & NATURAL GAS CORP.,"1,353,688","213,270","222,255","1,344,703",INR,"2,575,960.34 0.07"
PAGE INDUSTRIES,"3,106",0,673,"2,433",INR,"1,322,994.02 0.03"
PETRONET LNG,"322,421","100,803",0,"423,224",INR,"1,232,055.74 0.03"
PI INDUSTRIES,"34,836","9,046",0,"43,882",INR,"1,791,156.06 0.05"
PIDILITE INDUSTRIES -DEMAT-,"80,935","10,895","14,269","77,561",INR,"2,569,658.17 0.07"
PIRAMAL ENTERPRISES,"36,691","15,344",0,"52,035",INR,"1,850,731.41 0.05"
POWER GRID INDIA,"977,890","1,423,820","553,541","1,848,169",INR,"5,081,891.44 0.13"
POWER GRID INDIA -PROV-,0,"403,785","403,785",0,INR,0.00 0.00
REC,"380,563",0,"380,563",0,INR,0.00 0.00
RELIANCE INDUSTR.-DEMATERIALISED-,"1,366,081","168,798","150,837","1,384,042",INR,"44,092,151.10 1.15"
SBI CARDS & PAYMENT SERVICES 144A/S,0,"126,594",0,"126,594",INR,"1,580,644.12 0.04"
SBI LIFE INSURANCE,"190,225","23,184",0,"213,409",INR,"3,433,576.44 0.09"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
SHREE CEMENT -DEMATERIALISED-,"5,377","1,011",959,"5,429",INR,"1,970,990.37 0.05"
SHRIRAM TRANSPORT FINANCE,"83,012","37,901","21,177","99,736",INR,"1,632,846.41 0.04"
SIEMENS (INDIA) -DEMATER.-,"124,706","62,407","90,454","96,659",INR,"3,070,474.34 0.08"
SRF -DEMAT.-,0,"75,198",0,"75,198",INR,"2,448,174.74 0.06"
STATE BANK OF INDIA,"631,641","113,161","61,966","682,836",INR,"4,229,623.37 0.11"
STATE BANK OF INDIA GDR SPONS S,"20,760",0,0,"20,760",USD,"1,280,892.00 0.03"
SUN PHARMACEUTICAL,"429,256","34,792","43,830","420,218",INR,"4,780,725.33 0.13"
TATA CONS. PRODUCTS LTD,"265,959","36,523",0,"302,482",INR,"3,025,200.14 0.08"
TATA CONSULTANCY SERVICES-DEMAT.-,"454,383","92,552","87,782","459,153",INR,"23,090,864.67 0.60"
TATA MOTORS,"857,243","56,155","87,916","825,482",INR,"5,356,951.54 0.14"
TATA STEEL -DEMATERIALISED-,"341,369","59,734","61,367","339,736",INR,"5,079,656.08 0.13"
TECH MAHINDRA,"321,580","34,222","25,429","330,373",INR,"7,957,814.48 0.21"
TITAN COMPANY,"176,599","11,432","16,799","171,232",INR,"5,810,342.02 0.15"
TORRENT PHARMACEUTICALS -DEMAT.-,"22,060",0,0,"22,060",INR,"972,919.44 0.03"
TRENT,"70,742","62,797","31,080","102,459",INR,"1,467,920.48 0.04"
ULTRA TECH CEMENT,"62,074","3,544","16,988","48,630",INR,"4,966,025.35 0.13"
UNITED SPIRITS,"153,064",0,"29,588","123,476",INR,"1,492,047.29 0.04"
UPL,"270,293",0,"43,706","226,587",INR,"2,277,280.55 0.06"
VEDANTA,"819,635",0,"314,838","504,797",INR,"2,317,013.68 0.06"
WIPRO -DEMATERIALISED-,"599,005","256,237","100,871","754,371",INR,"7,259,494.43 0.19"
YES BANK,"5,484,489",0,0,"5,484,489",INR,"1,010,786.76 0.03"
ZEE ENTERTAINMENT ENT. -DEMATER.-,"469,536",0,"469,536",0,INR,0.00 0.00
ZOMATO -IPO- 144A REG S,0,"707,540",0,"707,540",INR,"1,307,797.61 0.03"
"",,,,,,
"",,,,,,"471,192,251.36 12.34"
INDONESIE / INDONESIEN,,,,,,
ACE HARDWARE INDONESIA,"2,500,500",0,"2,500,500",0,IDR,0.00 0.00
ANEKA TAMBANG,0,"3,349,400",0,"3,349,400",IDR,"528,767.02 0.01"
ASTRA INTERNATIONAL,"9,562,200","848,500","979,900","9,430,800",IDR,"3,771,709.32 0.10"
BANK CENTRAL ASIA,"4,726,200","27,210,700","5,502,200","26,434,700",IDR,"13,539,794.44 0.35"
BANK CENTRAL ASIA -PROV-,0,"24,375,000","24,375,000",0,IDR,0.00 0.00
